Latitud	Longitud
-21.35	-47.066
54.0279	-108.75
41.2473	-96.0071
-37.616	175.916
44.966	9.683
48.75	8.92
3.85	11.45
49.8	6.7166
12.25	75.416
7.8731	80.77
9.9252	78.119
-15.1716	-43.8718
43.66	10.316
27.6648	-81.5158
-2.45	-48.766
53.816	12.066
9.766	-63.466
51.45	9
52.783	7.733
56.83	9.43
49.811	6.72
52.3369	-6.4633
-14	-39.333
44.55	11.35
48.85	1.966
41.151	96.401
33.73404	-101.7387
50.593	6.9861
45.616	-73.833
45.1333	-74.133
51.066	8.73
51	11.65
51.7833	14.616
45.279	-22.756
51.6	14.3
40.1055	-88.32166
38.129	-84.5022
41.168	-96.469
41.225	-74.248
50.966	-0.45
53.878	12.617
52.62	10.814
49.869	9.908
-11.478	-61.379
43.66	10.4
38.833	-0.7
37.866	-1.716
38.05	-1.716
42.8379	12.348
10	-84
7.2	38.4
6.2	-2.483
6.0938	-0.8342
-1.3	120
17.8409	-92.6189
-3.133	-59.866
11.11	7.38
-3.119	-60.0217
-14	-39.2
37.77956	-3.3415
42.5614	-2.3117
43.183	2.8166
40.3833	16.766
-33.833	19.9
38.05	-1.766
36.9352	-5.26
36.7213	-4.4214
37.7796	-3.7849
37.8166	-4.9
43.166	10.6
38.883	-7.15
37.833	-3.866
40.35	-3.366
43.183	12.93
41.66	-4.183
40.483	16.466
37.8916	-4.7727
37.666	-4.783
40.35	-3.36
40.766	9.166
37.75	-4.7
39.785	-85.7694
52.3594	13.3089
52.5159	-7.8916
-23.0553	-49.6237
-22.7883	-48.1312
-22.2567	-47.817
-21.9198	-49.0009
-21.2029	-50.4537
-20.899	-51.3797
-20.0422	-47.7564
-19.7529	-48.6389
-18.4761	-49.142
-18.011	-49.3663
29.683	118.233
44.7833	86.15
29.966	103.033
19.9	109.728
24.166	97.75
22.85	110.016
45	127
35.5	114.8
35.43	107.461
44	85
2.966	102.3
?3.519863	?101.538116
-8.0333	-53.916
-5	104
53.758023	-0.890665
53.266034	-0.849295
50.98025	-0.450933
51.763657	-0.945511
54.063821	-1.23652
54.182053	-1.115692
51.510973	-1.302352
51.590026	-1.69116
51.855503	-1.610055
52.258203	-1.988139
53.257371	-3.758054
52.421286	-4.071068
51.244892	-2.850437
50.725033	-2.411778
51.064176	-3.15063
50.549892	-4.856333
50.428561	-4.631681
56.088536	-3.627033
56.200235	-3.26633
51.779789	-4.795017
52.504219	-0.502142
49.083	12.15
50.583	13.11
47.833	11.4
48.416	13.15
51	11.666
48.966	8.333
51.433	9.6
51.483	9.6
48.283	8.433
47.933	12.55
50.683	12.1
51.283	10.633
48.766	10.8
48.233	12.116
48.233	13
50.8	10.233
51.35	13.566
49.75	10.2166
47.833	12.85
51.433	12.85
49.75	12.183
49.006	9.2436
41.878	-93.097
35.5175	-86.5804
37.8393	-84.27
37.4316	-78.6569
40.4173	-82.9071
56.1304	-106.3468
40.2672	-86.1349
41.2033	-77.194
41.4925	-99.9018
32.3182	-86.9023
46.8139	-71.208
48.769768	-122.485886
?39.022846	-94.715187
?47.608013	-122
41.878	-93.0977
52.1307	-3.7837
